,bigram,word1,word2,totalRepetitions,fileOcurrences,weight
2696,"('sin', 'ti')",sin,ti,119,33,1.5244565217391304
1521,"('la', 'vida')",la,vida,87,35,1.1820652173913044
1700,"('lonely', 'lonely')",lonely,lonely,169,18,1.1809006211180124
1670,"('lo', 'que')",lo,que,77,39,1.1657608695652173
852,"('en', 'el')",en,el,74,37,1.062888198757764
2367,"('que', 'te')",que,te,75,36,1.0481366459627328
630,"('de', 'la')",de,la,67,38,0.9883540372670807
635,"('de', 'mi')",de,mi,62,30,0.7220496894409938
3038,"('time', 'time')",time,time,144,12,0.6708074534161491
854,"('en', 'la')",en,la,52,29,0.5854037267080745
856,"('en', 'mi')",en,mi,55,27,0.5764751552795031
901,"('es', 'la')",es,la,70,21,0.5706521739130435
652,"('de', 'ti')",de,ti,61,23,0.5446428571428571
802,"('el', 'amor')",el,amor,63,22,0.5380434782608695
2312,"('que', 'el')",que,el,53,26,0.5349378881987578
908,"('es', 'que')",es,que,67,20,0.5201863354037267
654,"('de', 'tu')",de,tu,51,24,0.4751552795031056
1851,"('mi', 'vida')",mi,vida,51,22,0.4355590062111801
2381,"('que', 'yo')",que,yo,44,23,0.39285714285714285
838,"('el', 'tiempo')",el,tiempo,48,21,0.391304347826087
1574,"('let', 'go')",let,go,36,21,0.29347826086956524
497,"('con', 'el')",con,el,40,17,0.2639751552795031
3492,"('yo', 'te')",yo,te,38,17,0.25077639751552794
656,"('de', 'un')",de,un,35,16,0.21739130434782608
2371,"('que', 'tu')",que,tu,28,20,0.21739130434782608
2327,"('que', 'hay')",que,hay,29,19,0.2138975155279503
2357,"('que', 'se')",que,se,30,18,0.2096273291925466
2320,"('que', 'estoy')",que,estoy,27,19,0.19914596273291926
2071,"('oh', 'oh')",oh,oh,42,12,0.1956521739130435
824,"('el', 'mundo')",el,mundo,33,15,0.1921583850931677
2315,"('que', 'es')",que,es,26,19,0.19177018633540371
3094,"('tu', 'amor')",tu,amor,27,17,0.1781832298136646
2248,"('por', 'ti')",por,ti,35,13,0.1766304347826087
910,"('es', 'un')",es,un,32,14,0.17391304347826086
617,"('de', 'amor')",de,amor,32,14,0.17391304347826086
2928,"('te', 'quiero')",te,quiero,30,14,0.16304347826086957
3329,"('waste', 'time')",waste,time,38,10,0.14751552795031056
801,"('el', 'alma')",el,alma,24,15,0.13975155279503104
1737,"('long', 'lonely')",long,lonely,36,10,0.13975155279503104
867,"('en', 'un')",en,un,26,13,0.13121118012422361
1127,"('get', 'lonely')",get,lonely,48,7,0.13043478260869565
2661,"('sick', 'sick')",sick,sick,47,7,0.12771739130434784
2330,"('que', 'la')",que,la,28,11,0.11956521739130435
304,"('blind', 'blind')",blind,blind,77,4,0.11956521739130435
806,"('el', 'cielo')",el,cielo,23,13,0.11607142857142858
964,"('every', 'time')",every,time,27,11,0.11529503105590062
2506,"('sad', 'sad')",sad,sad,33,9,0.11529503105590062
2556,"('se', 'que')",se,que,21,14,0.11413043478260869
1451,"('know', 'know')",know,know,24,12,0.11180124223602485
897,"('es', 'el')",es,el,23,12,0.10714285714285714
2726,"('slow', 'slow')",slow,slow,46,6,0.10714285714285714
2930,"('te', 'vas')",te,vas,25,11,0.10675465838509317
1835,"('mi', 'corazón')",mi,corazón,23,11,0.09821428571428571
3416,"('would', 'like')",would,like,23,11,0.09821428571428571
2581,"('see', 'see')",see,see,36,7,0.09782608695652174
2314,"('que', 'en')",que,en,19,13,0.09588509316770186
1041,"('feel', 'like')",feel,like,19,13,0.09588509316770186
655,"('de', 'tus')",de,tus,20,12,0.09316770186335403
634,"('de', 'los')",de,los,17,14,0.09239130434782608
1071,"('find', 'way')",find,way,29,8,0.09006211180124224
1301,"('hay', 'que')",hay,que,19,12,0.08850931677018634
1511,"('la', 'que')",la,que,28,8,0.08695652173913043
1741,"('long', 'time')",long,time,28,8,0.08695652173913043
865,"('en', 'tu')",en,tu,20,11,0.08540372670807453
105,"('amor', 'que')",amor,que,20,11,0.08540372670807453
2245,"('por', 'que')",por,que,18,12,0.08385093167701864
3107,"('tu', 'lado')",tu,lado,18,12,0.08385093167701864
3312,"('want', 'see')",want,see,27,8,0.08385093167701864
168,"('asi', 'es')",asi,es,43,5,0.08346273291925466
2905,"('te', 'amo')",te,amo,35,6,0.08152173913043478
2085,"('oh', 'yeah')",oh,yeah,19,11,0.0811335403726708
2100,"('one', 'day')",one,day,19,11,0.0811335403726708
102,"('amor', 'es')",amor,es,26,8,0.08074534161490683
3097,"('tu', 'boca')",tu,boca,23,9,0.08035714285714286
3162,"('un', 'día')",un,día,17,12,0.07919254658385093
2239,"('por', 'el')",por,el,18,11,0.07686335403726709
2646,"('si', 'te')",si,te,22,9,0.07686335403726709
165,"('asi', 'asi')",asi,asi,97,2,0.07531055900621118
2887,"('tal', 'vez')",tal,vez,19,10,0.07375776397515528
800,"('el', 'aire')",el,aire,19,10,0.07375776397515528
499,"('con', 'la')",con,la,17,11,0.07259316770186336
3464,"('yeah', 'yeah')",yeah,yeah,30,6,0.06987577639751552
537,"('could', 'die')",could,die,29,6,0.06754658385093168
1754,"('los', 'dos')",los,dos,17,10,0.06599378881987578
3250,"('vivir', 'sin')",vivir,sin,17,10,0.06599378881987578
1683,"('lonely', 'baby')",lonely,baby,33,5,0.0640527950310559
2550,"('se', 'fue')",se,fue,18,9,0.06288819875776397
3484,"('yo', 'quiero')",yo,quiero,18,9,0.06288819875776397
993,"('fall', 'fall')",fall,fall,20,8,0.062111801242236024
637,"('de', 'mis')",de,mis,20,8,0.062111801242236024
1450,"('know', 'got')",know,got,20,8,0.062111801242236024
2373,"('que', 'un')",que,un,16,10,0.062111801242236024
2341,"('que', 'nunca')",que,nunca,14,11,0.059782608695652176
3154,"('un', 'amor')",un,amor,17,9,0.0593944099378882
1827,"('metal', 'militia')",metal,militia,51,3,0.0593944099378882
1577,"('let', 'know')",let,know,30,5,0.05822981366459627
1940,"('más', 'que')",más,que,16,9,0.055900621118012424
3016,"('time', 'fall')",time,fall,24,6,0.055900621118012424
3490,"('yo', 'soy')",yo,soy,16,9,0.055900621118012424
2362,"('que', 'sin')",que,sin,14,10,0.05434782608695652
1175,"('go', 'go')",go,go,35,4,0.05434782608695652
837,"('el', 'sol')",el,sol,14,10,0.05434782608695652
1503,"('la', 'mujer')",la,mujer,34,4,0.052795031055900624
863,"('en', 'su')",en,su,17,8,0.052795031055900624
808,"('el', 'corazón')",el,corazón,17,8,0.052795031055900624
894,"('es', 'como')",es,como,15,9,0.05240683229813665
1191,"('going', 'break')",going,break,45,3,0.05240683229813665
2663,"('sick', 'tired')",sick,tired,27,5,0.05240683229813665
2041,"('nuestro', 'amor')",nuestro,amor,19,7,0.051630434782608696
991,"('fall', 'behind')",fall,behind,19,7,0.051630434782608696
1917,"('mr.', 'lonely')",mr.,lonely,44,3,0.05124223602484472
1702,"('lonely', 'mr.')",lonely,mr.,44,3,0.05124223602484472
2334,"('que', 'lo')",que,lo,13,10,0.05046583850931677
2147,"('para', 'que')",para,que,16,8,0.049689440993788817
1110,"('future', 'random')",future,random,11,11,0.04697204968944099
1885,"('moment', 'hopefully')",moment,hopefully,11,11,0.04697204968944099
1104,"('full', 'lyrics')",full,lyrics,11,11,0.04697204968944099
3188,"('unfortunately', 'licensed')",unfortunately,licensed,11,11,0.04697204968944099
2414,"('random', 'page')",random,page,11,11,0.04697204968944099
8,"('able', 'future')",able,future,11,11,0.04697204968944099
1369,"('hopefully', 'able')",hopefully,able,11,11,0.04697204968944099
1590,"('licensed', 'display')",licensed,display,11,11,0.04697204968944099
2772,"('song', 'moment')",song,moment,11,11,0.04697204968944099
748,"('display', 'full')",display,full,11,11,0.04697204968944099
1772,"('lyrics', 'song')",lyrics,song,11,11,0.04697204968944099
1187,"('goin', 'blind')",goin,blind,30,4,0.046583850931677016
2243,"('por', 'mi')",por,mi,15,8,0.046583850931677016
1695,"('lonely', 'girl')",lonely,girl,40,3,0.046583850931677016
2871,"('take', 'away')",take,away,20,6,0.046583850931677016
1052,"('feels', 'like')",feels,like,15,8,0.046583850931677016
682,"('decirte', 'que')",decirte,que,15,8,0.046583850931677016
864,"('en', 'ti')",en,ti,17,7,0.04619565217391304
2380,"('que', 'ya')",que,ya,13,9,0.045419254658385096
1857,"('militia', 'metal')",militia,metal,39,3,0.045419254658385096
1747,"('look', 'find')",look,find,19,6,0.04425465838509317
1831,"('mi', 'amor')",mi,amor,14,8,0.043478260869565216
683,"('deep', 'inside')",deep,inside,14,8,0.043478260869565216
1505,"('la', 'noche')",la,noche,14,8,0.043478260869565216
355,"('broken', 'glass')",broken,glass,28,4,0.043478260869565216
1705,"('lonely', 'nights')",lonely,nights,27,4,0.04192546583850932
3137,"('tus', 'besos')",tus,besos,12,9,0.04192546583850932
1562,"('left', 'behind')",left,behind,12,9,0.04192546583850932
2723,"('slow', 'motion')",slow,motion,54,2,0.04192546583850932
107,"('amor', 'sin')",amor,sin,18,6,0.04192546583850932
392,"('call', 'name')",call,name,18,6,0.04192546583850932
816,"('el', 'día')",el,día,12,9,0.04192546583850932
938,"('estar', 'sin')",estar,sin,18,6,0.04192546583850932
3278,"('waiting', 'time')",waiting,time,21,5,0.04076086956521739
1289,"('hasta', 'el')",hasta,el,15,7,0.04076086956521739
1687,"('lonely', 'could')",lonely,could,21,5,0.04076086956521739
992,"('fall', 'catch')",fall,catch,21,5,0.04076086956521739
1738,"('long', 'long')",long,long,15,7,0.04076086956521739
511,"('con', 'una')",con,una,13,8,0.040372670807453416
1830,"('mi', 'alma')",mi,alma,13,8,0.040372670807453416
487,"('como', 'un')",como,un,13,8,0.040372670807453416
990,"('fall', 'apart')",fall,apart,17,6,0.039596273291925464
1748,"('look', 'like')",look,like,20,5,0.03881987577639751
1586,"('let', 'take')",let,take,20,5,0.03881987577639751
3053,"('todo', 'el')",todo,el,14,7,0.03804347826086957
1520,"('la', 'verdad')",la,verdad,14,7,0.03804347826086957
99,"('amor', 'de')",amor,de,14,7,0.03804347826086957
2298,"('que', 'al')",que,al,14,7,0.03804347826086957
1180,"('go', 'slow')",go,slow,14,7,0.03804347826086957
1487,"('la', 'gente')",la,gente,16,6,0.037267080745341616
861,"('en', 'que')",en,que,12,8,0.037267080745341616
3055,"('todo', 'lo')",todo,lo,12,8,0.037267080745341616
2307,"('que', 'de')",que,de,12,8,0.037267080745341616
841,"('el', 'viento')",el,viento,12,8,0.037267080745341616
1225,"('got', 'get')",got,get,16,6,0.037267080745341616
644,"('de', 'que')",de,que,12,8,0.037267080745341616
2242,"('por', 'la')",por,la,12,8,0.037267080745341616
2340,"('que', 'nos')",que,nos,12,8,0.037267080745341616
1070,"('find', 'time')",find,time,19,5,0.03687888198757764
1758,"('lost', 'look')",lost,look,19,5,0.03687888198757764
1720,"('lonely', 'street')",lonely,street,19,5,0.03687888198757764
2972,"('think', 'lonely')",think,lonely,31,3,0.03610248447204969
650,"('de', 'su')",de,su,13,7,0.035326086956521736
2111,"('one', 'one')",one,one,13,7,0.035326086956521736
2250,"('por', 'tu')",por,tu,13,7,0.035326086956521736
2638,"('si', 'es')",si,es,13,7,0.035326086956521736
3177,"('un', 'sueño')",un,sueño,13,7,0.035326086956521736
444,"('close', 'eyes')",close,eyes,15,6,0.03493788819875776
2065,"('oh', 'lonely')",oh,lonely,18,5,0.03493788819875776
1704,"('lonely', 'night')",lonely,night,15,6,0.03493788819875776
21,"('aganjú', 'aganjú')",aganjú,aganjú,30,3,0.03493788819875776
2992,"('ti', 'te')",ti,te,15,6,0.03493788819875776
2039,"('nowhere', 'go')",nowhere,go,18,5,0.03493788819875776
1119,"('get', 'back')",get,back,15,6,0.03493788819875776
833,"('el', 'rey')",el,rey,15,6,0.03493788819875776
2127,"('otra', 'vez')",otra,vez,11,8,0.034161490683229816
2344,"('que', 'paso')",que,paso,22,4,0.034161490683229816
119,"('another', 'day')",another,day,22,4,0.034161490683229816
2013,"('night', 'fever')",night,fever,44,2,0.034161490683229816
345,"('break', 'going')",break,going,29,3,0.03377329192546584
512,"('con', 'él')",con,él,17,5,0.03299689440993789
215,"('baby', 'know')",baby,know,14,6,0.03260869565217391
3063,"('tonight', 'want')",tonight,want,21,4,0.03260869565217391
3476,"('yo', 'la')",yo,la,14,6,0.03260869565217391
2240,"('por', 'eso')",por,eso,12,7,0.03260869565217391
1509,"('la', 'piel')",la,piel,12,7,0.03260869565217391
1340,"('help', 'please')",help,please,21,4,0.03260869565217391
575,"('cuenta', 'que')",cuenta,que,12,7,0.03260869565217391
2337,"('que', 'mi')",que,mi,10,8,0.031055900621118012
2464,"('rodar', 'rodar')",rodar,rodar,20,4,0.031055900621118012
2000,"('ni', 'nadie')",ni,nadie,16,5,0.031055900621118012
482,"('como', 'el')",como,el,10,8,0.031055900621118012
3019,"('time', 'go')",time,go,10,8,0.031055900621118012
1546,"('last', 'time')",last,time,16,5,0.031055900621118012
2449,"('right', 'right')",right,right,13,6,0.030279503105590064
708,"('dicen', 'que')",dicen,que,13,6,0.030279503105590064
1029,"('fault', 'fault')",fault,fault,26,3,0.030279503105590064
2909,"('te', 'di')",te,di,13,6,0.030279503105590064
2986,"('ti', 'mi')",ti,mi,13,6,0.030279503105590064
1955,"('nadie', 'que')",nadie,que,13,6,0.030279503105590064
553,"('creo', 'que')",creo,que,13,6,0.030279503105590064
453,"('come', 'back')",come,back,11,7,0.029891304347826088
3171,"('un', 'poco')",un,poco,11,7,0.029891304347826088
501,"('con', 'mi')",con,mi,11,7,0.029891304347826088
2757,"('someone', 'else')",someone,else,15,5,0.029114906832298136
1701,"('lonely', 'long')",lonely,long,25,3,0.029114906832298136
1045,"('feel', 'sick')",feel,sick,25,3,0.029114906832298136
2185,"('pero', 'lo')",pero,lo,15,5,0.029114906832298136
1447,"('know', 'feels')",know,feels,12,6,0.027950310559006212
3121,"('tu', 'vida')",tu,vida,12,6,0.027950310559006212
680,"('decir', 'que')",decir,que,12,6,0.027950310559006212
2262,"('porque', 'yo')",porque,yo,12,6,0.027950310559006212
3297,"('want', 'die')",want,die,24,3,0.027950310559006212
1057,"('fever', 'fever')",fever,fever,18,4,0.027950310559006212
1060,"('fever', 'night')",fever,night,24,3,0.027950310559006212
3486,"('yo', 'se')",yo,se,12,6,0.027950310559006212
1709,"('lonely', 'one')",lonely,one,14,5,0.02717391304347826
2697,"('sin', 'tu')",sin,tu,10,7,0.02717391304347826
307,"('blind', 'see')",blind,see,23,3,0.026785714285714284
1059,"('fever', 'know')",fever,know,23,3,0.026785714285714284
1148,"('girl', 'lonely')",girl,lonely,23,3,0.026785714285714284
410,"('catch', 'waiting')",catch,waiting,17,4,0.026397515527950312
1656,"('llorar', 'llorar')",llorar,llorar,17,4,0.026397515527950312
1196,"('going', 'hungry')",going,hungry,34,2,0.026397515527950312
2694,"('sin', 'saber')",sin,saber,11,6,0.02562111801242236
3093,"('tu', 'alma')",tu,alma,11,6,0.02562111801242236
526,"('corazón', 'que')",corazón,que,11,6,0.02562111801242236
1006,"('fall', 'pieces')",fall,pieces,22,3,0.02562111801242236
1477,"('la', 'boca')",la,boca,13,5,0.025232919254658384
1170,"('go', 'away')",go,away,8,8,0.024844720496894408
243,"('bang', 'bang')",bang,bang,16,4,0.024844720496894408
298,"('birds', 'share')",birds,share,32,2,0.024844720496894408
2975,"('thought', 'would')",thought,would,8,8,0.024844720496894408
1146,"('girl', 'know')",girl,know,16,4,0.024844720496894408
3186,"('una', 'vez')",una,vez,9,7,0.024456521739130436
1706,"('lonely', 'nobody')",lonely,nobody,21,3,0.024456521739130436
961,"('every', 'night')",every,night,9,7,0.024456521739130436
2181,"('pero', 'el')",pero,el,9,7,0.024456521739130436
3362,"('well', 'lonely')",well,lonely,21,3,0.024456521739130436
2393,"('quiero', 'que')",quiero,que,9,7,0.024456521739130436
616,"('de', 'amar')",de,amar,9,7,0.024456521739130436
2872,"('take', 'back')",take,back,10,6,0.023291925465838508
