,bigram,word1,word2,totalRepetitions,fileOcurrences,weight
2302,"('i', 'am')",i,am,1133,242,106.4386645962733
5864,"('you', 'are')",you,are,785,195,59.4235248447205
1305,"('do', 'not')",do,not,737,197,56.36218944099379
2542,"('it', ""'s"")",it,'s,534,184,38.142857142857146
2405,"('i', 'will')",i,will,561,168,36.58695652173913
2459,"('in', 'the')",in,the,392,196,29.82608695652174
429,"('and', 'i')",and,i,343,158,21.03804347826087
5447,"('want', 'to')",want,to,408,110,17.422360248447205
1051,"('can', 'not')",can,not,305,120,14.20807453416149
5120,"('to', 'be')",to,be,320,110,13.664596273291925
2313,"('i', 'can')",i,can,308,110,13.152173913043478
2337,"('i', 'have')",i,have,273,114,12.081521739130435
5660,"('will', 'be')",will,be,246,106,10.122670807453416
4707,"('that', 'i')",that,i,224,114,9.91304347826087
2319,"('i', 'do')",i,do,265,90,9.258540372670808
2398,"('i', 'want')",i,want,303,77,9.057065217391305
4696,"('that', ""'s"")",that,'s,206,112,8.956521739130435
5935,"('you', 'know')",you,know,207,90,7.232142857142857
2420,"('if', 'you')",if,you,204,91,7.206521739130435
5691,"('will', 'not')",will,not,194,93,7.00388198757764
5215,"('to', 'the')",to,the,233,74,6.693322981366459
1886,"('going', 'to')",going,to,213,80,6.614906832298137
6017,"('you', 'will')",you,will,189,85,6.236413043478261
5925,"('you', 'i')",you,i,179,88,6.114906832298137
1936,"('got', 'to')",got,to,203,71,5.595108695652174
983,"('but', 'i')",but,i,161,87,5.4375
248,"('ai', 'not')",ai,not,211,66,5.406055900621118
5505,"('we', 'are')",we,are,174,78,5.2686335403726705
2347,"('i', 'know')",i,know,155,87,5.234860248447205
4903,"('the', 'sun')",the,sun,218,61,5.162267080745342
5169,"('to', 'me')",to,me,169,76,4.986024844720497
3813,"('on', 'the')",on,the,133,92,4.75
5582,"('when', 'i')",when,i,151,79,4.630822981366459
3715,"('of', 'the')",of,the,159,71,4.382375776397516
496,"('and', 'you')",and,you,141,79,4.324145962732919
5890,"('you', 'do')",you,do,152,68,4.012422360248447
2353,"('i', 'love')",i,love,143,71,3.94138198757764
2445,"('in', 'my')",in,my,151,67,3.9274068322981366
5881,"('you', 'can')",you,can,142,71,3.9138198757763973
3624,"('not', 'you')",not,you,165,59,3.779114906832298
2965,"('love', 'you')",love,you,144,67,3.7453416149068324
5591,"('when', 'you')",when,you,149,64,3.701863354037267
5861,"('you', 'and')",you,and,128,73,3.627329192546584
11,"(""'s"", 'a')",'s,a,144,64,3.577639751552795
5236,"('to', 'you')",to,you,156,58,3.512422360248447
1771,"('girl', 'i')",girl,i,171,50,3.3190993788819876
2198,"('home', 'i')",home,i,160,52,3.229813664596273
4957,"('there', ""'s"")",there,'s,110,74,3.159937888198758
4735,"('that', 'you')",that,you,121,67,3.147127329192547
275,"('all', 'the')",all,the,118,67,3.0690993788819876
474,"('and', 'the')",and,the,131,60,3.051242236024845
4285,"('she', ""'s"")",she,'s,201,39,3.0430900621118013
657,"('baby', 'i')",baby,i,146,53,3.00388198757764
5542,"('we', 'will')",we,will,123,62,2.9604037267080745
2785,"('let', 'me')",let,me,152,46,2.7142857142857144
3073,"('me', 'and')",me,and,116,60,2.701863354037267
1631,"('for', 'you')",for,you,115,57,2.544642857142857
5195,"('to', 'see')",to,see,117,56,2.5434782608695654
2334,"('i', 'got')",i,got,128,51,2.5341614906832297
2822,"('like', 'a')",like,a,122,53,2.5100931677018634
4938,"('the', 'world')",the,world,124,50,2.406832298136646
1997,"('have', 'been')",have,been,118,51,2.3361801242236027
4892,"('the', 'sky')",the,sky,115,51,2.2767857142857144
5736,"('with', 'me')",with,me,101,58,2.2740683229813663
3807,"('on', 'my')",on,my,131,44,2.237577639751553
616,"('at', 'the')",at,the,80,70,2.1739130434782608
262,"('all', 'i')",all,i,127,44,2.169254658385093
5135,"('to', 'do')",to,do,100,54,2.0962732919254656
3317,"('my', 'baby')",my,baby,170,31,2.045807453416149
1805,"('girl', 'you')",girl,you,140,37,2.010869565217391
2363,"('i', 'need')",i,need,114,44,1.9472049689440993
133,"('a', 'little')",a,little,124,40,1.9254658385093169
1620,"('for', 'me')",for,me,104,47,1.8975155279503106
550,"('are', 'my')",are,my,164,29,1.8462732919254659
6010,"('you', 'want')",you,want,115,40,1.7857142857142858
3567,"('not', 'know')",not,know,111,41,1.766692546583851
5915,"('you', 'have')",you,have,89,51,1.7620341614906831
2425,"('in', 'a')",in,a,76,59,1.7406832298136645
1316,"('do', 'you')",do,you,109,40,1.6925465838509317
2691,"('kind', 'of')",kind,of,136,32,1.68944099378882
552,"('are', 'not')",are,not,79,55,1.686723602484472
336,"('am', 'going')",am,going,103,42,1.6793478260869565
2413,"('if', 'i')",if,i,107,38,1.578416149068323
4928,"('the', 'way')",the,way,88,46,1.5714285714285714
5567,"('what', 'i')",what,i,91,44,1.5543478260869565
3364,"('my', 'mind')",my,mind,99,40,1.5372670807453417
5744,"('with', 'you')",with,you,89,44,1.5201863354037266
3537,"('not', 'be')",not,be,81,48,1.5093167701863355
2324,"('i', 'feel')",i,feel,88,44,1.5031055900621118
4645,"('take', 'me')",take,me,174,22,1.486024844720497
1996,"('have', 'a')",have,a,109,35,1.4809782608695652
3780,"('on', 'a')",on,a,73,52,1.4736024844720497
565,"('are', 'the')",are,the,97,39,1.468555900621118
2468,"('in', 'your')",in,your,98,38,1.4456521739130435
1160,"('come', 'on')",come,on,124,30,1.4440993788819876
2378,"('i', 'see')",i,see,87,42,1.4184782608695652
69,"(""'s"", 'the')",'s,the,86,42,1.4021739130434783
1627,"('for', 'the')",for,the,78,44,1.3322981366459627
