,bigram,word1,word2,totalRepetitions,fileOcurrences,weight
2878,"('i', 'am')",i,am,1628,369,233.20341614906832
3952,"('love', 'you')",love,you,1720,256,170.93167701863354
3193,"('it', ""'s"")",it,'s,1150,298,133.03571428571428
1691,"('do', 'not')",do,not,1030,259,103.55978260869566
7579,"('you', 'are')",you,are,935,263,95.4600155279503
2940,"('i', 'love')",i,love,1287,187,93.42740683229813
3008,"('i', 'will')",i,will,779,232,70.1583850931677
585,"('and', 'i')",and,i,661,248,63.63664596273292
1347,"('can', 'not')",can,not,687,223,59.472437888198755
7851,"('your', 'love')",your,love,1001,131,50.90489130434783
7661,"('you', 'i')",you,i,591,188,43.13198757763975
3834,"('love', 'i')",love,i,762,143,42.30046583850932
2888,"('i', 'can')",i,can,469,192,34.95652173913044
7005,"('want', 'to')",want,to,538,161,33.625
2920,"('i', 'have')",i,have,443,187,32.15877329192546
2897,"('i', 'do')",i,do,535,154,31.983695652173914
3838,"('love', 'is')",love,is,690,117,31.339285714285715
3070,"('in', 'the')",in,the,441,183,31.328804347826086
7680,"('you', 'love')",you,love,660,122,31.257763975155278
3055,"('in', 'love')",in,love,802,100,31.133540372670808
3851,"('love', 'love')",love,love,943,83,30.383928571428573
6137,"('that', 'i')",that,i,435,177,29.88936335403727
2932,"('i', 'know')",i,know,457,167,29.62694099378882
4426,"('my', 'heart')",my,heart,446,167,28.913819875776397
6632,"('to', 'be')",to,be,417,169,27.357531055900623
3003,"('i', 'want')",i,want,522,135,27.356366459627328
3857,"('love', 'me')",love,me,725,97,27.300077639751553
4439,"('my', 'love')",my,love,584,106,24.03105590062112
2369,"('going', 'to')",going,to,399,133,20.60054347826087
7672,"('you', 'know')",you,know,388,132,19.88198757763975
6181,"('that', 'you')",that,you,348,140,18.91304347826087
6122,"('that', ""'s"")",that,'s,342,128,16.993788819875775
7575,"('you', 'and')",you,and,306,131,15.561335403726709
4434,"('my', 'life')",my,life,334,112,14.521739130434783
6425,"('there', ""'s"")",there,'s,305,118,13.971273291925465
6395,"('the', 'way')",the,way,333,106,13.702639751552795
4119,"('me', 'i')",me,i,272,129,13.621118012422361
7379,"('with', 'you')",with,you,344,100,13.354037267080745
6699,"('to', 'me')",to,me,281,120,13.090062111801242
3057,"('in', 'my')",in,my,269,122,12.739906832298137
2111,"('for', 'you')",for,you,289,113,12.677406832298137
3452,"('know', 'i')",know,i,272,114,12.037267080745341
7194,"('when', 'i')",when,i,226,125,10.966614906832298
375,"('all', 'the')",all,the,236,118,10.81055900621118
4788,"('not', 'you')",not,you,301,92,10.75
7073,"('we', 'are')",we,are,256,106,10.53416149068323
7275,"('will', 'be')",will,be,256,104,10.335403726708075
20,"(""'s"", 'a')",'s,a,317,82,10.09083850931677
7619,"('you', 'do')",you,do,248,96,9.24223602484472
6767,"('to', 'you')",to,you,240,99,9.22360248447205
3766,"('love', 'and')",love,and,243,96,9.055900621118013
2950,"('i', 'need')",i,need,262,89,9.052018633540373
3030,"('if', 'you')",if,you,234,96,8.720496894409937
2431,"('got', 'to')",got,to,221,100,8.579192546583851
6402,"('the', 'world')",the,world,248,86,8.279503105590063
6746,"('to', 'the')",to,the,258,81,8.112577639751553
7798,"('you', 'will')",you,will,220,94,8.027950310559007
7302,"('will', 'not')",will,not,215,95,7.928959627329193
4877,"('of', 'love')",of,love,303,66,7.763198757763975
676,"('and', 'you')",and,you,185,105,7.540760869565218
1250,"('but', 'i')",but,i,182,106,7.489130434782608
7650,"('you', 'have')",you,have,189,102,7.483695652173913
7604,"('you', 'can')",you,can,231,83,7.442934782608695
7202,"('when', 'you')",when,you,211,88,7.208074534161491
3926,"('love', 'to')",love,to,294,63,7.190217391304348
184,"('a', 'love')",a,love,302,59,6.916925465838509
4067,"('me', 'and')",me,and,181,95,6.675077639751553
3946,"('love', 'with')",love,with,318,54,6.666149068322981
358,"('all', 'i')",all,i,191,89,6.598990683229814
7808,"('you', 'you')",you,you,195,87,6.585791925465839
897,"('baby', 'i')",baby,i,198,84,6.456521739130435
6287,"('the', 'love')",the,love,244,68,6.440993788819876
7172,"('what', 'i')",what,i,210,78,6.358695652173913
1063,"('because', 'i')",because,i,192,85,6.3354037267080745
6696,"('to', 'love')",to,love,251,65,6.333462732919255
7301,"('will', 'never')",will,never,192,84,6.260869565217392
2904,"('i', 'feel')",i,feel,186,85,6.137422360248447
4896,"('of', 'the')",of,the,188,84,6.130434782608695
2891,"('i', 'could')",i,could,282,56,6.130434782608695
4134,"('me', 'love')",me,love,289,52,5.833850931677019
3471,"('know', 'that')",know,that,177,80,5.496894409937888
2872,"('i', ""'d"")",i,'d,174,81,5.471273291925466
7585,"('you', 'baby')",you,baby,210,64,5.217391304347826
3079,"('in', 'your')",in,your,181,72,5.059006211180124
7784,"('you', 'want')",you,want,186,70,5.054347826086956
327,"('ai', 'not')",ai,not,228,53,4.690993788819876
7124,"('we', 'will')",we,will,154,78,4.663043478260869
2082,"('for', 'me')",for,me,163,72,4.555900621118012
1709,"('do', 'you')",do,you,211,55,4.505046583850931
3018,"('if', 'i')",if,i,164,70,4.456521739130435
4884,"('of', 'my')",of,my,171,64,4.248447204968944
2915,"('i', 'got')",i,got,173,63,4.230978260869565
5006,"('on', 'the')",on,the,138,78,4.178571428571429
3618,"('like', 'a')",like,a,183,57,4.049301242236025
4209,"('me', 'you')",me,you,176,58,3.9627329192546585
654,"('and', 'the')",and,the,149,68,3.9332298136645965
4234,"('merry', 'christmas')",merry,christmas,326,31,3.923136645962733
6089,"('tell', 'me')",tell,me,162,62,3.8990683229813663
7743,"('you', 'so')",you,so,157,62,3.7787267080745344
2568,"('have', 'got')",have,got,141,69,3.7767857142857144
23,"(""'s"", 'all')",'s,all,162,60,3.7732919254658386
7186,"('what', 'you')",what,you,135,68,3.563664596273292
1497,"('come', 'on')",come,on,221,40,3.4316770186335406
6685,"('to', 'know')",to,know,141,62,3.393633540372671
2928,"('i', 'just')",i,just,160,54,3.3540372670807455
783,"('are', 'the')",are,the,150,56,3.260869565217391
2557,"('have', 'been')",have,been,126,66,3.2282608695652173
6530,"('this', 'is')",this,is,162,51,3.2072981366459627
3005,"('i', 'was')",i,was,129,64,3.2049689440993787
3542,"('let', 'me')",let,me,144,56,3.130434782608696
3839,"('love', 'it')",love,it,176,45,3.0745341614906834
4779,"('not', 'want')",not,want,168,47,3.0652173913043477
3648,"('like', 'you')",like,you,148,53,3.0450310559006213
7699,"('you', 'need')",you,need,193,39,2.921972049689441
4004,"('make', 'me')",make,me,160,47,2.919254658385093
2100,"('for', 'the')",for,the,147,51,2.910326086956522
4910,"('of', 'your')",of,your,202,37,2.9013975155279503
3917,"('love', 'that')",love,that,132,55,2.8183229813664594
4323,"('more', 'than')",more,than,143,50,2.775621118012422
7274,"('will', 'always')",will,always,158,45,2.7600931677018634
3174,"('is', 'the')",is,the,161,44,2.75
2169,"('from', 'the')",from,the,124,57,2.7437888198757765
7765,"('you', 'to')",you,to,111,63,2.714673913043478
192,"('a', 'merry')",a,merry,262,26,2.6444099378881987
459,"('am', 'going')",am,going,126,53,2.592391304347826
3013,"('i', 'would')",i,would,116,57,2.5667701863354035
7840,"('your', 'heart')",your,heart,112,59,2.5652173913043477
7529,"('yeah', 'yeah')",yeah,yeah,153,43,2.5539596273291925
3836,"('love', 'in')",love,in,148,44,2.527950310559006
3147,"('is', 'love')",is,love,171,38,2.5225155279503104
5173,"('out', 'of')",out,of,120,54,2.515527950310559
4821,"('now', 'i')",now,i,111,58,2.499223602484472
2952,"('i', 'never')",i,never,112,57,2.4782608695652173
